Top pages,Clicks,Impressions,CTR,Position
https://pinkautoglass.com/,10,149,6.71%,42.64
https://pinkautoglass.com/locations/denver-co,2,375,0.53%,61.79
https://www.pinkautoglass.com/,1,26,3.85%,11.54
https://pinkautoglass.com/locations/aurora-co,0,201,0%,36.64
https://pinkautoglass.com/services/windshield-repair,0,155,0%,73.01
https://pinkautoglass.com/services/insurance-claims,0,139,0%,60
https://pinkautoglass.com/locations/boulder-co,0,65,0%,38.95
https://www.pinkautoglass.com/services/mobile-service,0,57,0%,63.81
https://pinkautoglass.com/locations,0,41,0%,39.39
https://www.pinkautoglass.com/services/windshield-repair,0,38,0%,61.79
https://pinkautoglass.com/locations/colorado-springs-co,0,36,0%,50.14
https://pinkautoglass.com/locations/lakewood-co,0,35,0%,34.46
https://pinkautoglass.com/services/mobile-service,0,35,0%,72.46
https://pinkautoglass.com/contact,0,30,0%,35.37
https://pinkautoglass.com/locations/fort-collins-co,0,22,0%,39.36
https://www.pinkautoglass.com/locations/colorado-springs-co,0,21,0%,56.05
https://pinkautoglass.com/services,0,20,0%,11.4
https://pinkautoglass.com/vehicles,0,13,0%,9.31
https://pinkautoglass.com/vehicles/mazda-cx-5-windshield-replacement-denver,0,11,0%,6.82
https://www.pinkautoglass.com/vehicles/brands/subaru,0,10,0%,62.7
https://pinkautoglass.com/#quote-form,0,9,0%,13.11
https://pinkautoglass.com/locations/brighton-co,0,9,0%,22.22
https://www.pinkautoglass.com/services/adas-calibration,0,9,0%,50
https://pinkautoglass.com/services/windshield-replacement,0,8,0%,1
https://pinkautoglass.com/services/adas-calibration,0,8,0%,37.5
https://pinkautoglass.com/about,0,7,0%,2.43
https://www.pinkautoglass.com/vehicles/toyota-rav4-windshield-replacement-denver,0,6,0%,44
https://pinkautoglass.com/vehicles/tesla-model-3-windshield-replacement-denver,0,5,0%,8.2
https://pinkautoglass.com/blog/adas-calibration-myths-colorado-drivers,0,4,0%,7
https://pinkautoglass.com/vehicles/subaru-forester-windshield-replacement-denver,0,4,0%,7.25
https://pinkautoglass.com/vehicles/jeep-wrangler-windshield-replacement-denver,0,4,0%,11.5
https://pinkautoglass.com/blog/prevent-rock-chip-spreading-denver,0,3,0%,4
https://pinkautoglass.com/vehicles/ford-escape-windshield-replacement-denver,0,3,0%,9.67
https://pinkautoglass.com/vehicles/hyundai-elantra-windshield-replacement-denver,0,3,0%,9.67
https://www.pinkautoglass.com/vehicles/brands/nissan,0,3,0%,36
https://pinkautoglass.com/vehicles/subaru-outback-windshield-replacement-denver,0,2,0%,5.5
https://pinkautoglass.com/vehicles/tesla-model-y-windshield-replacement-denver,0,2,0%,6
https://pinkautoglass.com/vehicles/toyota-corolla-windshield-replacement-denver,0,2,0%,6
https://pinkautoglass.com/careers,0,2,0%,7.5
https://pinkautoglass.com/vehicles/brands/ford,0,2,0%,7.5
https://pinkautoglass.com/vehicles/chevrolet-silverado-windshield-replacement-denver,0,2,0%,8
https://pinkautoglass.com/vehicles/honda-cr-v-windshield-replacement-denver,0,2,0%,8.5
https://pinkautoglass.com/vehicles/toyota-camry-windshield-replacement-denver,0,2,0%,10
https://pinkautoglass.com/vehicles/chevrolet-equinox-windshield-replacement-denver,0,2,0%,12.5
https://pinkautoglass.com/locations/arvada-co,0,2,0%,19
https://pinkautoglass.com/vehicles/gmc-sierra-windshield-replacement-denver,0,1,0%,1
https://pinkautoglass.com/vehicles/ford-f150-windshield-replacement-denver,0,1,0%,3
https://pinkautoglass.com/vehicles/toyota-rav4-windshield-replacement-denver,0,1,0%,5
https://pinkautoglass.com/locations/parker-co,0,1,0%,6
https://pinkautoglass.com/vehicles/brands/honda,0,1,0%,7
https://pinkautoglass.com/blog/windshield-repair-vs-replacement-decision-guide,0,1,0%,8
https://pinkautoglass.com/track,0,1,0%,8
https://pinkautoglass.com/vehicles/brands/nissan,0,1,0%,8
https://pinkautoglass.com/vehicles/brands/mazda,0,1,0%,10
https://pinkautoglass.com/vehicles/brands/tesla,0,1,0%,11
https://pinkautoglass.com/blog,0,1,0%,12
https://pinkautoglass.com/locations/westminster-co,0,1,0%,22
https://pinkautoglass.com/vehicles/brands/subaru,0,1,0%,24
https://www.pinkautoglass.com/locations/centennial-co,0,1,0%,30
https://www.pinkautoglass.com/services/insurance-claims,0,1,0%,96